ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
SATD200001,01/01/2000,76146639,77905058,56288872,57563420,19857767,20341639,48263245,53719168,34913749,39541327,13349496,14177841,63.4,69,62,68.7,67.2,69.7,4952,5180,41540,47836,46492,53015,49843099,56016401,2182683,2471760,1354273,1373758,702849,744617,366607410,445647119,724934,769768,215985,212525,2510.5,1811.2,48.4,55.4,79.9,203442,227235,105,,95.7,,101.9,,98.831779617,100.69017704,1.58,0.9497,0.9629,1.0152,1.003,0.9563,0.9775,0.9497,0.966,1.1204,1.0673
SATD200002,02/01/2000,73011377,78588752,54329819,57831932,18681558,20756820,48580127,55653103,36005847,40659340,12574280,14993763,66.5,70.8,66.3,70.3,67.3,72.2,4812,5445,43714,48560,48526,54005,49931931,57758698,2341123,2529306,1296439,1369222,690991,745025,366139276,444353399,756536,770593,210132,227892,2330.7,1839.1,42,48.6,78.2,199261,228727,103,-1.9,97.9,2.3,101.3,-0.6,99.172682503,97.084808681,1.56,0.9793,0.9853,1.0119,1.0036,0.9535,0.9786,1.0183,0.9809,0.9844,1.0445
SATD200003,03/01/2000,80308529,79360377,59913798,58423108,20394731,20937269,59632014,56803896,43901516,41231046,15730498,15572849,74.3,71.6,73.3,70.6,77.1,74.4,5787,5553,52977,48812,58764,54366,61478163,58610860,2699633,2496663,1404269,1363099,749444,745461,453096388,454758347,843730,786328,216833,219816,2050.6,1721.2,52.5,52.5,74.7,232490,230237,99.8,-3.1,99.5,1.6,99.7,-1.6,99.560293302,99.767561393,1.55,0.9937,0.9726,1.0074,1.0041,0.9758,0.9986,0.9823,0.918,1.0619,0.9972
SATD200004,04/01/2000,78139993,79274744,57402637,58361163,20737356,20913581,57636732,57789237,41954244,41753274,15682488,16035963,73.8,72.9,73.1,71.5,75.6,76.7,5688,5701,50344,49791,56032,55492,58981617,58900986,2528558,2550457,1341461,1354917,727542,742482,473751011,466354746,757458,777160,219340,222270,1783.3,1841.2,52.2,50.8,72.6,227698,229068,97.9,-1.9,99.5,0,98.5,-1.2,100.19052575,101.49628784,1.58,0.9986,0.9935,1.0013,1.0001,1.0007,0.9869,0.9932,0.982,1.0289,0.9689
SATD200005,05/01/2000,80515093,79096765,58896522,58181619,21618571,20915146,59749900,59134116,43168824,42801621,16581076,16332494,74.2,74.8,73.3,73.6,76.7,78.1,5892,5831,52309,50309,58201,56140,61223861,60969288,2528225,2522528,1393416,1359050,752142,741635,481725263,474658109,818246,783498,225649,218900,1632.9,1971.2,53.5,52.5,73.2,242501,229651,98.8,0.9,102.3,2.8,100,1.5,100.48115276,99.714734437,1.59,1.0337,0.9826,1.0044,0.999,1.0185,0.995,0.9782,1.0513,1.063,0.9768
SATD200006,06/01/2000,80393854,79018392,58286914,57712150,22106940,21306243,64046964,58235623,45856363,41903840,18190601,16331783,79.7,73.7,78.7,72.6,82.3,76.7,6400,5736,54673,49325,61073,55061,65601574,59496191,2537148,2515958,1343794,1346731,742018,733475,517102460,458049755,793911,788332,225621,220754,1513.1,1881.3,50.4,48.5,75.1,242963,230024,99.8,1,100.6,-1.7,100.1,0.1,100.5537014,101.3066819,1.6,1.0087,0.9801,0.9953,0.988,0.9829,1.0011,0.9864,1.0033,0.9822,1.0021
SATD200007,07/01/2000,83853711,79006372,60607052,57695989,23246659,21310383,66435577,58198914,47303803,41737008,19131774,16461906,79.2,73.7,78,72.3,82.3,77.2,7014,5821,55568,50252,62582,56072,67898320,58872214,2461623,2475790,1330434,1353596,738911,735847,564747276,472001068,743746,784727,228889,222392,1525.6,1739.4,53.3,49.6,72.9,245140,228840,97.7,-2.1,99.8,-0.8,98.4,-1.7,100.37584372,100.32609937,1.6,0.9982,0.9644,1.0003,0.9912,1.0128,0.9965,0.9938,0.9277,1.0038,0.9732
SATD200008,08/01/2000,84702734,79326259,61479288,57931534,23223446,21394725,65252958,57167268,46457758,40800543,18795200,16366726,77,72.1,75.6,70.4,80.9,76.5,6881,5914,54474,50278,61355,56192,67028338,58723052,2623412,2568380,1423542,1354944,792621,739045,558060051,476590416,787064,785766,231542,225260,1653.1,1851.3,50.9,48.3,74.7,247832,229339,99.7,2,99.7,-0.1,99.7,1.3,100.10954375,98.937749857,1.62,0.9956,1.0005,1.0013,0.9955,1.0227,0.9978,1.0066,0.9873,0.9779,0.9979
SATD200009,09/01/2000,79912506,81477984,57899315,59889505,22013191,21588480,55470176,60199460,38372644,43080103,17097532,17119358,69.4,73.9,66.3,71.9,77.7,79.3,5859,6428,46363,52338,52222,58766,56441629,61470151,2711279,2757212,1381834,1371630,768195,743739,446489429,481608761,802516,794391,222945,225377,1475,1859.3,47.3,48.5,74.1,227899,231166,99.7,0,103.3,3.6,100.9,1.2,100.53305044,101.68503712,1.59,1.0422,1.0741,1.0137,1.0018,1.0335,1.0088,1.0071,0.9916,0.9816,0.9888
SATD200010,10/01/2000,82627553,81160070,60761374,59433901,21866179,21726169,57979416,59482497,41820446,42669518,16158970,16812979,70.2,73.3,68.8,71.8,73.9,77.4,5635,6208,50920,51690,56555,57898,58834210,59958295,2839068,2642360,1442723,1351172,837316,760842,462329685,486179648,851255,801594,234903,234230,1567.9,1874,50.8,47.8,74.2,236491,230372,99.6,-0.1,101.8,-1.5,100.3,-0.6,100.16252263,99.584237579,1.6,1.0166,1.0293,0.9986,1.0249,1.0433,1.0179,1.0467,0.9995,0.968,0.9907
SATD200011,11/01/2000,78368993,81379730,57757912,59458436,20611081,21921294,55302968,59039407,40712967,42530894,14590001,16508514,70.6,72.5,70.5,71.5,70.8,75.3,5327,6171,49632,51569,54959,57740,56283261,59856910,2702423,2639888,1306388,1323528,734567,741996,442268378,475284140,816120,810205,226901,228406,1908.5,1968.9,50,48.4,74.8,222819,229865,100,0.4,101.9,0.1,100.6,0.3,100.18457915,99.040833809,1.62,1.0148,1.0284,0.9781,0.9995,1.0199,1.0289,1.0206,1.0501,0.9796,0.9992
SATD200012,12/01/2000,79075993,79677444,57886109,57859969,21189884,21817475,54460418,55734797,39656140,40545683,14804278,15189114,68.9,70,68.5,70.1,69.9,69.6,5470,5655,47051,48166,52521,53821,55380280,57140124,2707863,2634738,1258689,1315891,689989,734418,461651082,456733529,755040,797275,233175,227640,2587.5,2141.5,41.3,41.9,74.2,218390,224132,99.1,-0.9,98.1,-3.7,98.8,-1.8,99.84432498,100.36579098,1.62,0.9688,1.0264,0.9725,0.9893,0.9801,1.0125,1.0172,1.1421,0.848,0.9904
SATD200101,01/01/2001,81196157,82860332,59766686,60830900,21429471,22029432,52049391,57865739,37179562,41963362,14869829,15902376,64.1,69.8,62.2,69,69.4,72.2,5543,5846,44074,50056,49617,55902,53129922,59365204,2290401,2561184,1334544,1354352,698406,740789,379458113,454671012,800293,812229,228953,225489,2677,1927.8,39.3,46,74.6,209685,231442,99.5,0.4,101.3,3.3,100.1,1.3,99.352486341,97.788692176,1.61,1.0065,0.9977,1.0009,0.9979,0.9757,1.0314,1.0076,1.0282,0.9318,0.9964
SATD200102,02/01/2001,73704583,82325544,54313589,60025979,19390994,22299565,48845243,58022476,35784235,41908064,13061008,16114412,66.3,70.5,65.9,69.8,67.4,72.3,4980,5798,43149,49696,48129,55494,49992995,59236402,2276553,2554229,1231946,1358841,647069,724249,366288212,452568841,761213,813839,199107,225631,2309.5,1864.3,40.9,47.6,74.5,200876,230672,99.3,-0.2,101.2,-0.1,99.9,-0.2,98.69760249,98.897772701,1.6,1.0043,0.995,1.0042,0.9756,0.9711,1.0335,1.0082,0.9943,0.963,0.9944
SATD200103,03/01/2001,82211844,81408364,60467225,59102153,21744619,22306211,60769073,58053702,44208143,41713950,16560930,16339751,73.9,71.3,73.1,70.6,76.2,73.3,6101,5833,53020,49457,59121,55291,62323049,59671480,2671787,2484610,1412827,1372056,739669,731198,448912584,453224980,846702,805232,225282,227922,2246.6,1892.2,47.1,47,74.8,232587,231165,99.6,0.3,101.4,0.2,100.2,0.3,98.452602191,97.044545974,1.61,1.0117,0.9679,1.014,0.9849,0.9725,1.0226,1.0185,1.0092,0.952,0.9983
SATD200104,04/01/2001,80938470,82117054,58851713,59740629,22086757,22376425,58479185,58672250,42363481,42053693,16115704,16618557,72.3,71.4,72,70.4,73,74.3,5900,5906,50702,49645,56602,55551,59801567,59828379,2399580,2405481,1348256,1360001,696972,712005,455496342,445337033,803744,806985,225210,228203,1807.2,1873.4,49.4,47.9,73.4,232513,232994,98.1,-1.5,101.6,0.2,99.2,-1,98.106509537,94.448886351,1.58,1.0144,0.937,1.0051,0.9591,0.9556,1.0248,1.0197,0.9991,0.97,0.9794
