"OBS_DATE,TRUCK_D11,TSI_Freight,TSI_Total,IND_PRO,MANUF,INV_TO_SALES"
"01/01/2000,79.9,105.0,101.9,98.831779617,100.69017704,1.58"
"02/01/2000,78.2,103.0,101.3,99.172682503,97.084808681,1.56"
"03/01/2000,74.7,99.8,99.7,99.560293302,99.767561393,1.55"
"04/01/2000,72.6,97.9,98.5,100.19052575,101.49628784,1.58"
"05/01/2000,73.2,98.8,100.0,100.48115276,99.714734437,1.59"
"06/01/2000,75.1,99.8,100.1,100.5537014,101.3066819,1.6"
"07/01/2000,72.9,97.7,98.4,100.37584372,100.32609937,1.6"
"08/01/2000,74.7,99.7,99.7,100.10954375,98.937749857,1.62"
"09/01/2000,74.1,99.7,100.9,100.53305044,101.68503712,1.59"
"10/01/2000,74.2,99.6,100.3,100.16252263,99.584237579,1.6"
"11/01/2000,74.8,100.0,100.6,100.18457915,99.040833809,1.62"
"12/01/2000,74.2,99.1,98.8,99.84432498,100.36579098,1.62"
"01/01/2001,74.6,99.5,100.1,99.352486341,97.788692176,1.61"
"02/01/2001,74.5,99.3,99.9,98.69760249,98.897772701,1.6"
"03/01/2001,74.8,99.6,100.2,98.452602191,97.044545974,1.61"
"04/01/2001,73.4,98.1,99.2,98.106509537,94.448886351,1.58"
"05/01/2001,75.5,99.5,100.3,97.5900195,96.478583666,1.59"
"06/01/2001,74.5,98.6,99.6,97.071475179,94.592518561,1.59"
"07/01/2001,74.4,97.9,98.9,96.481247188,93.567390063,1.6"
"08/01/2001,75.2,99.3,100.2,96.396697218,94.399486008,1.6"
"09/01/2001,74.4,98.2,93.8,95.875449893,91.939177613,1.63"
"10/01/2001,74.6,98.9,95.1,95.583741683,91.392061679,1.48"
"11/01/2001,74.6,98.2,95.5,95.022489896,91.38206739,1.51"
"12/01/2001,74.3,97.7,95.8,94.985512799,92.051970303,1.53"
"01/01/2002,75.2,98.9,96.8,95.64677574,91.441176471,1.54"
"02/01/2002,76.2,99.8,98.3,95.64072101,91.390062821,1.54"
"03/01/2002,75.6,99.1,97.3,96.363720567,91.848372359,1.54"
"04/01/2002,75.9,99.9,98.3,96.822366315,93.36407767,1.52"
"05/01/2002,77.2,101.2,99.1,97.237655876,93.981724729,1.56"
"06/01/2002,77.0,101.6,99.3,98.036447669,93.886921759,1.55"
"07/01/2002,78.4,102.9,100.2,98.004011619,92.842946887,1.54"
"08/01/2002,78.3,102.6,100.2,97.903351744,94.200456882,1.53"
"09/01/2002,79.1,103.1,100.5,97.997200048,94.340376927,1.57"
"10/01/2002,79.1,104.6,101.5,97.73933345,94.108794974,1.57"
"11/01/2002,79.3,104.9,102.1,98.275501358,94.496002284,1.57"
"12/01/2002,80.1,105.2,102.2,97.730467597,92.708737864,1.56"
"01/01/2003,79.3,104.3,101.7,98.537368402,94.167618504,1.56"
"02/01/2003,78.7,103.3,101.1,98.660192912,95.174186179,1.6"
"03/01/2003,79.5,103.8,101.0,98.390000615,95.936322102,1.58"
"04/01/2003,79.7,104.1,100.2,97.774256264,93.012278698,1.59"
"05/01/2003,78.7,103.1,99.9,97.740630892,93.98972016,1.58"
"06/01/2003,78.9,103.0,100.1,97.869942612,94.913478013,1.56"
"07/01/2003,79.9,104.4,101.7,98.375188152,95.842661336,1.55"
"08/01/2003,79.0,103.9,101.5,98.165867509,95.225014278,1.51"
"09/01/2003,80.2,105.1,102.7,98.802262811,96.930611079,1.53"
"10/01/2003,81.5,106.8,103.8,98.935250617,97.170759566,1.56"
"11/01/2003,81.1,106.3,104.0,99.607325574,97.319531696,1.55"
"12/01/2003,83.2,108.9,106.2,99.657817692,97.276413478,1.55"
"01/01/2004,82.1,107.9,105.4,99.823890268,97.345516848,1.55"
"02/01/2004,81.7,107.9,106.0,100.44309446,97.783266705,1.55"
"03/01/2004,85.2,110.5,108.3,100.05094262,100.62964021,1.54"
"04/01/2004,85.1,110.9,108.5,100.4389859,100.1676185,1.58"
"05/01/2004,84.4,110.5,108.4,101.18371761,100.96630497,1.55"
"06/01/2004,85.6,111.2,109.2,100.40590113,101.68418047,1.59"
"07/01/2004,85.4,111.3,109.2,101.14663239,101.41861793,1.58"
"08/01/2004,84.6,110.3,108.6,101.2330204,103.23929183,1.59"
